participantID,generatedChart,takeawayInfoReliance,takeawayRank,chartSemanticLevel,chartSemanticLevel_next,chartAnnotation,chartAnnotation_next,takeawayText,takeawayLevel,isTakeawayMatch,takeawayMatchLevel,isTakeawayExt,isTakeawayL1,isTakeawayL2,isTakeawayL3,isTakeawayL4
1,2,4,1,3,NA,"After steadily increasing, median household income spiked suddenly in 2008.",NA,The last few years of growth is about 25% of the last 100 years of increase overall.,2,0,0,0,0,1,0,0
2,1,5,1,1,3,"Years span 1960-2020, shown in decades",Slight uptick in the overall decreasing trend,The sharp rise occurs between 2018-2020.,3,0,0,0,0,0,1,0
2,1,5,2,1,3,"Years span 1960-2020, shown in decades",Slight uptick in the overall decreasing trend,The numbers form 1960 drops a bit to 2018 but relatively steady.,3,0,0,0,0,0,1,0
2,1,5,3,1,3,"Years span 1960-2020, shown in decades",Slight uptick in the overall decreasing trend,It's shown for immigration vs years and the trend.,1,0,0,0,1,0,0,0
3,5,4,1,1,3,President approval rating over 5 years (2015-2020),Steep fall slows to a steady decrease,President approval rating spiked to about 80 percent briefly around mid-2017.,3,0,0,0,0,0,1,0
3,5,4,2,1,3,President approval rating over 5 years (2015-2020),Steep fall slows to a steady decrease,President approval rating dropped from about 40-50% in late 2017 to 0 in 2020.,3,0,0,0,0,0,1,0
3,5,4,3,1,3,President approval rating over 5 years (2015-2020),Steep fall slows to a steady decrease,President approval rating remained roughly the same from 2015-2017.,3,0,0,0,0,0,1,0
4,6,3,1,3,4,National debt climbs to previous high,Government instituted restrictions on international borrowing,The national debt fell steeply in the early 90s before quickly rising to an all-time high.,3,0,0,0,0,0,1,0
4,6,3,2,3,4,National debt climbs to previous high,Government instituted restrictions on international borrowing,There were restrictions on international borrowing that kept the high debt relatively stable since around 2000,4,1,4,0,0,0,0,1
5,1,4,1,1,NA,"Years span 1960-2020, shown in decades",NA,Number of immigrants went up over 1.5 million from 1960 to 2010,2,0,0,0,0,1,0,0
5,1,4,2,1,NA,"Years span 1960-2020, shown in decades",NA,There was a sharp increase in immigrants the last 5 or so years of charted data on the graph.,3,0,0,0,0,0,1,0
6,2,2,1,1,3,"Years span 1960 to 2010, shown in decades","After steadily increasing, median household income spiked suddenly in 2008.","After steadily increasing from 1960, median income spiked in 2008.",3,1,3,0,0,0,1,0
7,2,3,1,3,4,"After steadily increasing, median household income spiked suddenly in 2008.",Steady increase from 1960-2008 was caused by an increase in base wages.,"As time went on, incomes got higher.",3,0,0,0,0,0,1,0
7,2,3,2,3,4,"After steadily increasing, median household income spiked suddenly in 2008.",Steady increase from 1960-2008 was caused by an increase in base wages.,Incomes dramatically increased from 1960 to 2020.,3,0,0,0,0,0,1,0
8,1,4,1,1,2,"Years span 1960-2020, shown in decades",Number of immigrants in 2012 is greater than in 2011,The number of immigrants was higher in 2012 than in 2011.,2,1,2,0,0,1,0,0
8,1,4,2,1,2,"Years span 1960-2020, shown in decades",Number of immigrants in 2012 is greater than in 2011,There was a big growth in 2018.,3,0,0,0,0,0,1,0
9,1,3,1,3,NA,Slight uptick in the overall decreasing trend,NA,it seemed that it showed that immigration was on the rise,3,0,0,0,0,0,1,0
9,1,3,2,3,NA,Slight uptick in the overall decreasing trend,NA,it showed that the immigration was flat until 2020 abouts where it massively spiked upwards,3,0,0,0,0,0,1,0
10,9,3,1,4,NA,Sustained high attendance due to consecutive season ticket deals,NA,Deals on season tickets increased attendance at games.,4,1,4,0,0,0,0,1
10,9,3,2,4,NA,Sustained high attendance due to consecutive season ticket deals,NA,Better performance from the team led to high attendance.,4,0,0,1,0,0,0,1
11,6,3,1,4,NA,Government instituted restrictions on international borrowing,NA,national debt dropped in 1990-1992,3,0,0,0,0,0,1,0
11,6,3,2,4,NA,Government instituted restrictions on international borrowing,NA,government created restrictions on international borrowing,4,1,4,0,0,0,0,1
