participantID,A,rank_0_elab,rank_2_A_elab,rank_equaltxt_elab,rank_txt_elab,rank_0,rank_2_A,rank_equaltxt,rank_txt,rankElab_A,B,rank_1_elab,rank_2_B_elab,rank_3_elab,rank_1,rank_2_B,rank_3,rankElab_B,generatedChart,chartSemanticLevel,chartSemanticLevel_next,takeaway1,takeaway2,takeaway3,takeawayInfoReliance,attn_check,lit 1_1,lit 2_1,lit 3_1,lit 4_1,lit 5_1,lit 6_1,pref 1_1,pref 2_1,pref 3_1,pref 4_1,chartQuote,readingQuote,age,education,chartFreq,chartFreqValue,chartContext,chartContext_12_TEXT,readShortFreq,readShortFreqValue,readLongFreq,readLongFreqValue,readContext,readContext_12_TEXT,comments
1,1,"Its very simple, there isn't anything complicated about it and the visual is easy to follow. It is lacking in detail, however, which makes it hard to be specific when referencing it.","I think this draws attention to a particular point, which can be useful in cases where you need to focus on a point in time or after an incident. It can also be used to manipulate data however.","This is good for visual people but maybe too cluttered overall, it is tough to discern what certain labels mean.","This is very simple insofar as everything is literally spelled out for you, you can just read it. It does only attempt to communicate information in one way, though, so that's a drawback.",2,1,4,3,"I think data needs to be communicated simply but effectively. It needs context, but it doesn't need to spell everything out.",6,"This is simple and everything is plain to see, but the labels are a little loose so it can be tough to be specific.","This is simple and easy to parse, though the extra arrow visual is a bit much.","This has some more detail and despite a little confusing extra imagery, overall the chart shows context but could be used to manipulate data.",1,2,3,"Again, simple is better for me. In this case there doesn't need to be that much context I don't think.",2,3,,The last few years of growth is about 25% of the last 100 years of increase overall.,,,4,3,5,5,5,5,6,4,4,6,3,6,6,6,35 - 44,High school graduate,Every day,7,"Job or career,Social media,News article (online)",,Every day,1,Few times a month,4,"Job or career,Social media,Books",,
2,7,I do not like it because it does not explain anything.,I don't like the spike that does not conform to the trend.,I like it because it explains why there are changes.,I do not like it. I am a visual person so it is better to show in pictorial.,3,2,1,4,"I got lost in the paragraph so I put that last. Eventhough #2 didn't explain much, I rather see it this way. #1 is the best.",8,It states the obvious but does not explain why.,It explains why the spike is but does not explain why there's a drop.,It explains very well why.,3,2,1,1 explains the rise and drop. 2. explain rise but not why it drops.  3. does not explain anything.,1,1,3,The sharp rise occurs between 2018-2020.,The numbers form 1960 drops a bit to 2018 but relatively steady.,It's shown for immigration vs years and the trend.,5,3,6,6,6,6,6,6,6,6,6,6,6,6,55 - 64,Professional degree,Every day,7,Job or career,,Every day,1,Every day,1,Scientific publications,,
3,2,I like that it seems relatively straightforward. I would prefer it have data up to the recent decade (2020) if it's available for more current context.,"The text and label make it more immediately clear what the chart is showing, including highlighting the more specific date of 2008 being the year of the spike, although it makes me wonder how median household income spiked in this time range when I thought that was when the Great Recession mainly was.","It gives more depth and context to the chart, which I generally like (the more info the better).","In the first sentence tt mentions the median household income rising steadily and the rate but not what those actual numbers are, which the chart did show.",3,2,1,4,"Rank 1 was the best because it gave the best overview, the chart clearly showing the data and the text describing what was being shown. Rank 2 was good at this too, while the basic chart in Rank 3 was fine at showing the data but nothing special. Rank 4 was clear in its text but I felt it lacked context without a chart, especially since the text doesn't actually tell you the numbers its referring to unless you get to the end description of $80k and work backwards to calculate what it was a specific time point.",7,The chart clearly shows what the title text is describing and it's pretty straightforward and doesn't take long to understand what it's showing.,"I liked that it visually shows the data, and the text and title give context.","I like that the chart clearly shows what the title describes, although I wonder what the significance (if any) there is of the second peak occurring 10 years after the first, since it highlights that fact.",3,1,2,"I liked the chart I ranked as 1 the best because the text conveyed what the chart was showing, and it highlighted the peak year specifically. The second I ranked lower because while I typically like more information, it seemed like it might have been highlighting the 10 year mark for a reason that I didn't understand, so it left me wondering about its significance. The third ranked chart was perfectly serviceable.",5,1,3,President approval rating spiked to about 80 percent briefly around mid-2017.,President approval rating dropped from about 40-50% in late 2017 to 0 in 2020.,President approval rating remained roughly the same from 2015-2017.,4,3,4,3,4,3,4,2,4,6,5,6,6,5,25 - 34,Some college,Few times a week,6,"Social media,News article (online),Infographics",,Every day,1,Once a month,5,"Social media,News (online or print),Books",,
4,4,"It lays out the information plainly and clearly, which is good, but I would have questions about the sudden rise and fall if this was all I saw. ","The weird text at the top is there again (it mentions the falling, but not the rise), and the maximum point is kind of unnecessary here. We can see it's the maximum, and there are no other points on the graph.","Everything in the chart is good and understandable, and the two points help give context. The text above the graph is kind of weird and confusing. ","It describes the median incomes over time pretty clearly, though this information does seem better served by a graph. I also feel like it should describe the reason for the drop and steady rise after. It's disconcerting for it not to explain why it rose that high and dropped again so quickly.",2,4,1,3,"None of these are perfect, but the top one lays out everything in a way that's the quickest and easiest to understand out of all of them. And I would rather have a plain chart than a paragraph that seems incomplete. The things on the last one make it look like a bad chart. ",3,"The chart itself is fine and lays out the facts, but what is the ""pivotal moment""? That title leaves me with questions","The title text combined with the added explanation is good, but I'd have questions about why it continued to decrease like that.","Same as the last one, but having that information in a big box is kind of glaring. It's redundant since the person looking at it most likely knows how to read a chart",3,1,2,,6,3,4,The national debt fell steeply in the early 90s before quickly rising to an all-time high.,There were restrictions on international borrowing that kept the high debt relatively stable since around 2000,,3,2,5,5,5,4,5,3,3,5,3,5,5,5,35 - 44,4 year degree,Once a month,3,"Social media,News article (online),News media (e.g., television news)",,Every day,1,Few times a week,2,"Job or career,Social media,News (online or print),Books,Short stories,Manuals or instructions",,
5,3,"I don't like that there is no header. From just looking at the chart I can see that it's data of the stock index decline over 50 years, but I feel that it would be better with a header so it's easier to quickly see what the chart is representing. ","I think it's fine. It's a bit less visual than the previous one even thought it's the same data. I don't like how compact it is, but other than that it's fine. ",I like that it's simple to digest the data. Anyone who's had any experience reading even a basic chart can understand the point and the data it represents. ,"I don't like that it's all text and not visual. It's easy enough to understand in plain language if you try, but not as powerful as a graph representation. ",3,2,1,4,"I think 4 is the worst because I prefer visual data rather than just text. I made my first choice with all the information available. There was a header, text, and written and visual interpretation of the data. ",8,I think it's fine. I like the header quickly telling me what I'm looking at and the graph is big enough and well laid out to see that data. ,"It's the same as the previous one which I liked, but I like this one even more because it interprets some of the data and gives a reasoning of the spike in new users in 2012 to 2013 before the sharp decline. ",This one builds even more on the one before giving a plausible reason why the sharp decline is coming after the quick rapid increase. ,3,2,1,I think the more things you can add to a chart the better as long as they make sense and give reasoning behind why the data did what it did. I ordered my rankings in order of most information.,1,1,,Number of immigrants went up over 1.5 million from 1960 to 2010,There was a sharp increase in immigrants the last 5 or so years of charted data on the graph. ,,4,2,5,5,5,4,5,4,5,5,5,6,6,5,45 - 54,4 year degree,Few times a week,6,"Social media,News article (online),News article (print),News media (e.g., television news),Infographics",,Every day,1,Every day,1,"Social media,News (online or print),Books",,
6,9,I don't like that it's unclear which sports games are being counted. I like that it's simple and easy to understand.,The timeline of the data is very clear.,"There's too many annotations which makes it look disorganized. I do like that the annotations explain the data, but at the same time they may be adding bias if there are other contributing factors that aren't mentioned.",I like that it's a straightforward way of communicating the information. It's easy to understand the chain of events and their effect on attendance.,4,3,2,1,"Personally I prefer reading texts to reading charts. The heavily annotated chart is ugly to look at, but it does communicate the same amount of information as the text. The other two charts don't communicate as much information.",5,It's well organized and easy to understand.,The maximum mark is unnecessary and distracting. ,The annotations don't add any new information that the visual didn't already have.,1,2,3,The basic graph tells you all there is to know. The other versions have unnecessary annotations that make me focus on just those parts of the visual.,2,1,3,"After steadily increasing from 1960, median income spiked in 2008.",,,2,2,5,5,5,4,5,3,3,6,6,4,4,6,25 - 34,4 year degree,Few times a month,4,"Social media,News media (e.g., television news),Infographics",,Every day,1,Every day,1,"Job or career,Social media,News (online or print),Books,Manuals or instructions",,
7,9,I like seeing a visual of the ups and downs of the ticket sales.,I like how simple it is and how easy to visualize it is.,I like all the extra information given along with the visual representation.,I liked how easy it was to read and understand. It kept my attention the whole time.,4,2,1,3,I chose the one with the visual representation and the most info given because it's pretty straight forward and easy to understand. I chose the last one as my least favorite because it doesn't give a lot of information.,3,It's simple and the text is large and easy to read.,The text is very large and easy to read and the graph is easy to interpret.,The text is large and easy to read and the visual graph is easy to interpret.,3,2,1,I chose the top one as my favorite because it gives the most information.,2,3,4,"As time went on, incomes got higher.",Incomes dramatically increased from 1960 to 2020.,,3,2,5,5,5,5,6,4,6,6,4,5,5,5,35 - 44,Some college,A few times a year,2,Social media,,Every day,1,A few times a year,6,"Books,Magazines",,
8,8,I like looking at this graph.  The information is easier to learn.  I do not have to read as much.,I like how the information is presented.  The graph makes it more clear.  I understand it easier without having to read so many words.,I really like the graph because it was easier to digest the information.  I could see the information clearly.,It was so long to read.  It wasn't as clear without the graph.  It did not grab my attention.,3,2,1,4,"I really like the graphs the best.  When the graphs have some text explaining the rise or fall, it gives more context.  It makes it easier to understand.  I really did not like the long paragraph of words because it was boring to read and took more effort to learn the information.",3,I think the graph is very useful in presenting the information.,I really like the graph and the words help give some more context.,I like the graph and the words give everything context.,3,2,1,I think the graph with the words gives the most context.,1,1,2,The number of immigrants was higher in 2012 than in 2011.,There was a big growth in 2018.,,4,2,4,4,4,4,4,4,4,4,5,4,4,4,35 - 44,4 year degree,Few times a month,4,News article (online),,Few times a week,2,Few times a week,2,"News (online or print),Books,Magazines",,Thank you!
9,6,its basic and just easy to understand,its good but it doesnt explain the uptick like the last chart did so you are left wondering what it is,"its easy to understand with the annotations, though they could be done a bit better","its plain and flat, theres no depth to show the actual numbers",3,2,1,4,"well just the text has no depth like i said, its just flat words. the 1 is the best cause it explains everything there for you to read at a glance",2,"its flat, theres no explanation or anything what you are really looking at other than the axis bars",its good but it feels like its missing some data to it,its a bit more informative but the bottom annotation is useless since you can figure that out by just looking at the chart,3,1,2,id like more information on all but 1 is the best since 2 just adds useless information and 3 is lacking all abouts,1,3,,it seemed that it showed that immigration was on the rise,it showed that the immigration was flat until 2020 abouts where it massively spiked upwards,,3,2,6,6,6,5,5,4,5,6,5,6,6,6,35 - 44,4 year degree,Few times a week,6,"Job or career,News article (online),News article (print),News media (e.g., television news),Health information,Scientific publications,Infographics,Government reports",,Every day,1,Few times a week,2,"Job or career,Social media,News (online or print),Scientific publications,Books,Magazines,Short stories,Manuals or instructions,Brochures,Government reports",,
10,9,"I like that it provides information visually, but dislike that it doesn't give me any details about why the attendance varied the way that it did.","I like that I can quickly see the decline and increase in attendance, but it doesn't provide as much information as the written report.",I like that it not only gives me information visually (through the usage of a graph) but provides additional information that explains the variations in attendance. ,I like that it provided me with a decent amount of information about how the attendance varied and why it increased or decreased.,4,3,1,2,"My top pick provided information in both written and visual form, while the second choice only provided written information. While the second choice is helpful, the visuals of the graph + text allow me to more quickly assess the information and figure out what I'm looking at.",6,"I like that it provides some information visually, but without text explaining why the data changes it doesn't really help me that much ","I like that it provides some information both visually, and in written form, although I wish there was a bit more text explaining the variations.",Providing information visually? Good. Not explaining what led to the minimum? Not so good.,3,1,2,"My top pick provided me with the most useful information. Labeling the minimum doesn't really do anything for me, because I could figure out that was the minimum just by glancing at the graph.",9,4,,Deals on season tickets increased attendance at games.,Better performance from the team led to high attendance.,,3,2,4,4,4,4,4,3,3,4,4,3,3,5,25 - 34,Some college,Once a week,5,"Social media,Health information,Scientific publications,Government reports",,Every day,1,Every day,1,"Social media,Scientific publications,Books",,
